RACETHX_DSC,SDAFRDHOME_DSC_2,n,n_se,n_low,n_upp,rse
Hispanic,"""Excellent"", ""Very good"", or ""Good""",0.12837599446183046,0.013600937854383665,0.101602922324844,0.15514906659881691,0.10594611485893946
Hispanic,"""Fair"" or ""Poor""",0.15133889832794248,0.015214940652336716,0.12138870606868685,0.1812890905871981,0.10053555840856483
Non-Hispanic White Only,"""Excellent"", ""Very good"", or ""Good""",0.18882894302320652,0.010353810634641625,0.1684477515214298,0.20921013452498324,0.0548316930067716
Non-Hispanic White Only,"""Fair"" or ""Poor""",0.19426105855594153,0.012459242906597253,0.16973538152676132,0.21878673558512174,0.06413659535891673
Non-Hispanic Black Only,"""Excellent"", ""Very good"", or ""Good""",0.2785752198176578,0.022839225375328023,0.2336168327510287,0.3235336068842869,0.08198584709105677
Non-Hispanic Black Only,"""Fair"" or ""Poor""",0.22000708280874137,0.025704530900275874,0.1694084206129079,0.27060574500457485,0.11683501536458069
Non-Hispanic Asian Only,"""Excellent"", ""Very good"", or ""Good""",0.07530550600471218,0.018818571203300237,0.03826166610667269,0.11234934590275167,0.24989635156455464
Non-Hispanic Other Race or Multiple Race,"""Excellent"", ""Very good"", or ""Good""",0.2724696475458629,0.0649016513504388,0.1447125316750042,0.4002267634167216,0.2381977293067638
Non-Hispanic Other Race or Multiple Race,"""Fair"" or ""Poor""",0.3218255806937181,0.04009002056252787,0.24290947770249038,0.4007416836849458,0.12457064623673159
